"year","ccode","id","age","housing_costs","earnings","benefits","employment_status","skill_level"
2016,"E06000047",101,40,0.0,0.0,0.0,0,3
2017,"E06000047",101,41,0.0,0.0,0.0,0,3
2016,"E06000047",105,40,0.0,0.0,0.0,0,5
2017,"E06000047",105,41,0.0,0.0,0.0,0,5
2016,"E06000047",106,40,0.0,0.0,0.0,0,2
2016,"E06000047",107,40,0.0,0.0,0.0,0,5
2017,"E06000047",107,41,0.0,0.0,0.0,0,5
2016,"E06000047",108,40,0.0,0.0,0.0,0,3
2017,"E06000047",108,41,0.0,0.0,0.0,0,3
2016,"E06000047",110,40,0.0,0.0,0.0,0,2
2017,"E06000047",110,41,0.0,0.0,0.0,0,2
2018,"E06000047",110,42,0.0,0.0,0.0,0,2
2016,"E06000047",111,40,0.0,0.0,0.0,0,2
2016,"E06000047",114,40,0.0,0.0,0.0,0,4
2016,"E06000047",118,40,0.0,0.0,0.0,0,5
2017,"E06000047",118,41,0.0,0.0,0.0,0,5
2016,"E06000047",120,40,0.0,0.0,0.0,0,2
2017,"E06000047",122,40,0.0,0.0,0.0,0,3
2018,"E06000047",122,41,0.0,0.0,0.0,0,3
2017,"E06000047",123,40,0.0,0.0,0.0,0,2
2018,"E06000047",123,41,0.0,0.0,0.0,0,2
2019,"E06000047",123,42,0.0,0.0,0.0,0,2
2017,"E06000047",124,40,0.0,0.0,0.0,0,3
2018,"E06000047",124,41,0.0,0.0,0.0,0,3
2017,"E06000047",126,40,0.0,0.0,0.0,0,3
2018,"E06000047",126,41,0.0,0.0,0.0,0,3
2017,"E06000047",127,40,0.0,0.0,0.0,0,2
2018,"E06000047",127,41,0.0,0.0,0.0,0,2
2019,"E06000047",127,42,0.0,0.0,0.0,0,2
2017,"E06000047",128,40,0.0,0.0,0.0,0,4
2018,"E06000047",128,41,0.0,0.0,0.0,0,4
2017,"E06000047",130,40,0.0,0.0,0.0,0,2
2017,"E06000047",134,40,0.0,0.0,0.0,0,1
2017,"E06000047",135,40,0.0,0.0,0.0,0,3
2017,"E06000047",137,40,0.0,0.0,0.0,0,3
2017,"E06000047",138,40,0.0,0.0,0.0,0,2
2017,"E06000047",144,40,0.0,0.0,0.0,0,3
2018,"E06000047",144,41,0.0,0.0,0.0,0,3
2019,"E06000047",144,42,0.0,0.0,0.0,0,3
2017,"E06000047",145,40,0.0,0.0,0.0,0,3
2018,"E06000047",145,41,0.0,0.0,0.0,0,3
2017,"E06000047",146,40,0.0,0.0,0.0,0,4
2017,"E06000047",147,40,0.0,0.0,0.0,0,4
2017,"E06000047",150,40,0.0,0.0,0.0,0,5
2018,"E06000047",150,41,0.0,0.0,0.0,0,5
2017,"E06000047",152,40,0.0,0.0,0.0,0,3
2018,"E06000047",152,41,0.0,0.0,0.0,0,3
2017,"E06000047",153,40,0.0,0.0,0.0,0,2
2018,"E06000047",153,41,0.0,0.0,0.0,0,2
2019,"E06000047",153,42,0.0,0.0,0.0,0,2
2018,"E06000047",157,40,0.0,0.0,0.0,0,4
2018,"E06000047",162,40,0.0,0.0,0.0,0,2
2018,"E06000047",163,40,0.0,0.0,0.0,0,3
2018,"E06000047",164,40,0.0,0.0,0.0,0,4
2018,"E06000047",165,40,0.0,0.0,0.0,0,2
2018,"E06000047",167,40,0.0,0.0,0.0,0,5
2019,"E06000047",167,41,0.0,0.0,0.0,0,5
2020,"E06000047",167,42,0.0,0.0,0.0,0,5
2018,"E06000047",170,40,0.0,0.0,0.0,0,2
2019,"E06000047",170,41,0.0,0.0,0.0,0,2
2018,"E06000047",171,40,0.0,0.0,0.0,0,5
2018,"E06000047",174,40,0.0,0.0,0.0,0,3
2019,"E06000047",174,41,0.0,0.0,0.0,0,3
2020,"E06000047",174,42,0.0,0.0,0.0,0,3
2018,"E06000047",177,40,0.0,0.0,0.0,0,3
2019,"E06000047",177,41,0.0,0.0,0.0,0,3
2020,"E06000047",177,42,0.0,0.0,0.0,0,3
2018,"E06000047",178,40,0.0,0.0,0.0,0,4
2019,"E06000047",178,41,0.0,0.0,0.0,0,4
2018,"E06000047",179,40,0.0,0.0,0.0,0,2
2019,"E06000047",179,41,0.0,0.0,0.0,0,2
2020,"E06000047",179,42,0.0,0.0,0.0,0,2
2018,"E06000047",180,40,0.0,0.0,0.0,0,2
2018,"E06000047",182,40,0.0,0.0,0.0,0,3
2019,"E06000047",182,41,0.0,0.0,0.0,0,3
2020,"E06000047",182,42,0.0,0.0,0.0,0,3
2018,"E06000047",183,40,0.0,0.0,0.0,0,4
2018,"E06000047",184,40,0.0,0.0,0.0,0,2
2018,"E06000047",185,40,0.0,0.0,0.0,0,2
2019,"E06000047",185,41,0.0,0.0,0.0,0,2
2018,"E06000047",187,40,0.0,0.0,0.0,0,4
2019,"E06000047",187,41,0.0,0.0,0.0,0,4
2020,"E06000047",187,42,0.0,0.0,0.0,0,4
2019,"E06000047",189,40,0.0,0.0,0.0,0,1
2020,"E06000047",189,41,0.0,0.0,0.0,0,1
2021,"E06000047",189,42,0.0,0.0,0.0,0,1
2019,"E06000047",191,40,0.0,0.0,0.0,0,2
2020,"E06000047",191,41,0.0,0.0,0.0,0,2
2019,"E06000047",192,40,0.0,0.0,0.0,0,5
2019,"E06000047",194,40,0.0,0.0,0.0,0,2
2020,"E06000047",194,41,0.0,0.0,0.0,0,2
2019,"E06000047",195,40,0.0,0.0,0.0,0,4
2020,"E06000047",195,41,0.0,0.0,0.0,0,4
2021,"E06000047",195,42,0.0,0.0,0.0,0,4
2019,"E06000047",197,40,0.0,0.0,0.0,0,3
2020,"E06000047",197,41,0.0,0.0,0.0,0,3
2019,"E06000047",202,40,0.0,0.0,0.0,0,2
2020,"E06000047",202,41,0.0,0.0,0.0,0,2
2021,"E06000047",202,42,0.0,0.0,0.0,0,2
2019,"E06000047",204,40,0.0,0.0,0.0,0,5
2020,"E06000047",204,41,0.0,0.0,0.0,0,5
2019,"E06000047",208,40,0.0,0.0,0.0,0,2
2020,"E06000047",208,41,0.0,0.0,0.0,0,2
2021,"E06000047",208,42,0.0,0.0,0.0,0,2
2019,"E06000047",209,40,0.0,0.0,0.0,0,3
2020,"E06000047",209,41,0.0,0.0,0.0,0,3
2019,"E06000047",211,40,0.0,0.0,0.0,0,1
2019,"E06000047",212,40,0.0,0.0,0.0,0,4
2020,"E06000047",212,41,0.0,0.0,0.0,0,4
2019,"E06000047",213,40,0.0,0.0,0.0,0,2
2019,"E06000047",216,40,0.0,0.0,0.0,0,2
2019,"E06000047",218,40,0.0,0.0,0.0,0,2
2020,"E06000047",218,41,0.0,0.0,0.0,0,2
2020,"E06000047",222,40,0.0,0.0,0.0,0,3
2021,"E06000047",222,41,0.0,0.0,0.0,0,3
2022,"E06000047",222,42,0.0,0.0,0.0,0,3
2020,"E06000047",223,40,0.0,0.0,0.0,0,4
2021,"E06000047",223,41,0.0,0.0,0.0,0,4
2022,"E06000047",223,42,0.0,0.0,0.0,0,4
2020,"E06000047",224,40,0.0,0.0,0.0,0,3
2021,"E06000047",224,41,0.0,0.0,0.0,0,3
2022,"E06000047",224,42,0.0,0.0,0.0,0,3
2020,"E06000047",225,40,0.0,0.0,0.0,0,2
2021,"E06000047",225,41,0.0,0.0,0.0,0,2
2020,"E06000047",227,40,0.0,0.0,0.0,0,3
2021,"E06000047",227,41,0.0,0.0,0.0,0,3
2020,"E06000047",228,40,0.0,0.0,0.0,0,3
2021,"E06000047",228,41,0.0,0.0,0.0,0,3
2020,"E06000047",230,40,0.0,0.0,0.0,0,3
2020,"E06000047",231,40,0.0,0.0,0.0,0,5
2021,"E06000047",231,41,0.0,0.0,0.0,0,5
2020,"E06000047",233,40,0.0,0.0,0.0,0,2
2021,"E06000047",233,41,0.0,0.0,0.0,0,2
2022,"E06000047",233,42,0.0,0.0,0.0,0,2
2020,"E06000047",234,40,0.0,0.0,0.0,0,1
2021,"E06000047",234,41,0.0,0.0,0.0,0,1
2020,"E06000047",235,40,0.0,0.0,0.0,0,2
2021,"E06000047",235,41,0.0,0.0,0.0,0,2
2022,"E06000047",235,42,0.0,0.0,0.0,0,2
2020,"E06000047",240,40,0.0,0.0,0.0,0,2
2020,"E06000047",245,40,0.0,0.0,0.0,0,1
2021,"E06000047",245,41,0.0,0.0,0.0,0,1
2020,"E06000047",246,40,0.0,0.0,0.0,0,2
2021,"E06000047",246,41,0.0,0.0,0.0,0,2
2022,"E06000047",246,42,0.0,0.0,0.0,0,2
2020,"E06000047",247,40,0.0,0.0,0.0,0,2
2021,"E06000047",247,41,0.0,0.0,0.0,0,2
2020,"E06000047",248,40,0.0,0.0,0.0,0,4
2020,"E06000047",249,40,0.0,0.0,0.0,0,5
2020,"E06000047",250,40,0.0,0.0,0.0,0,2
2020,"E06000047",251,40,0.0,0.0,0.0,0,2
2021,"E06000047",259,40,0.0,0.0,0.0,0,4
2022,"E06000047",259,41,0.0,0.0,0.0,0,4
2021,"E06000047",262,40,0.0,0.0,0.0,0,3
2021,"E06000047",266,40,0.0,0.0,0.0,0,3
2022,"E06000047",266,41,0.0,0.0,0.0,0,3
2021,"E06000047",268,40,0.0,0.0,0.0,0,2
2021,"E06000047",269,40,0.0,0.0,0.0,0,1
2022,"E06000047",269,41,0.0,0.0,0.0,0,1
2021,"E06000047",274,40,0.0,0.0,0.0,0,5
2022,"E06000047",274,41,0.0,0.0,0.0,0,5
2021,"E06000047",275,40,0.0,0.0,0.0,0,5
2022,"E06000047",275,41,0.0,0.0,0.0,0,5
2023,"E06000047",275,42,0.0,0.0,0.0,0,5
2021,"E06000047",277,40,0.0,0.0,0.0,0,5
2022,"E06000047",277,41,0.0,0.0,0.0,0,5
2023,"E06000047",277,42,0.0,0.0,0.0,0,5
2021,"E06000047",278,40,0.0,0.0,0.0,0,2
2022,"E06000047",278,41,0.0,0.0,0.0,0,2
2023,"E06000047",278,42,0.0,0.0,0.0,0,2
2021,"E06000047",281,40,0.0,0.0,0.0,0,5
2022,"E06000047",281,41,0.0,0.0,0.0,0,5
2023,"E06000047",281,42,0.0,0.0,0.0,0,5
2021,"E06000047",283,40,0.0,0.0,0.0,0,5
2022,"E06000047",283,41,0.0,0.0,0.0,0,5
2023,"E06000047",283,42,0.0,0.0,0.0,0,5
2021,"E06000047",285,40,0.0,0.0,0.0,0,5
2022,"E06000047",285,41,0.0,0.0,0.0,0,5
2023,"E06000047",285,42,0.0,0.0,0.0,0,5
2021,"E06000047",288,40,0.0,0.0,0.0,0,3
2022,"E06000047",288,41,0.0,0.0,0.0,0,3
2021,"E06000047",289,40,0.0,0.0,0.0,0,2
2022,"E06000047",289,41,0.0,0.0,0.0,0,2
2022,"E06000047",290,40,0.0,0.0,0.0,0,1
2023,"E06000047",290,41,0.0,0.0,0.0,0,1
2022,"E06000047",291,40,0.0,0.0,0.0,0,5
2023,"E06000047",291,41,0.0,0.0,0.0,0,5
2024,"E06000047",291,42,0.0,0.0,0.0,0,5
2022,"E06000047",295,40,0.0,0.0,0.0,0,2
2023,"E06000047",295,41,0.0,0.0,0.0,0,2
2022,"E06000047",297,40,0.0,0.0,0.0,0,3
2023,"E06000047",297,41,0.0,0.0,0.0,0,3
2024,"E06000047",297,42,0.0,0.0,0.0,0,3
2022,"E06000047",298,40,0.0,0.0,0.0,0,2
2023,"E06000047",298,41,0.0,0.0,0.0,0,2
2024,"E06000047",298,42,0.0,0.0,0.0,0,2
2022,"E06000047",299,40,0.0,0.0,0.0,0,3
2023,"E06000047",299,41,0.0,0.0,0.0,0,3
2022,"E06000047",301,40,0.0,0.0,0.0,0,5
2023,"E06000047",301,41,0.0,0.0,0.0,0,5
2024,"E06000047",301,42,0.0,0.0,0.0,0,5
2022,"E06000047",304,40,0.0,0.0,0.0,0,3
2023,"E06000047",304,41,0.0,0.0,0.0,0,3
2022,"E06000047",305,40,0.0,0.0,0.0,0,3
2023,"E06000047",305,41,0.0,0.0,0.0,0,3
2024,"E06000047",305,42,0.0,0.0,0.0,0,3
2022,"E06000047",307,40,0.0,0.0,0.0,0,2
2023,"E06000047",307,41,0.0,0.0,0.0,0,2
2022,"E06000047",311,40,0.0,0.0,0.0,0,2
2023,"E06000047",311,41,0.0,0.0,0.0,0,2
2022,"E06000047",312,40,0.0,0.0,0.0,0,3
2023,"E06000047",312,41,0.0,0.0,0.0,0,3
2024,"E06000047",312,42,0.0,0.0,0.0,0,3
2022,"E06000047",313,40,0.0,0.0,0.0,0,1
2022,"E06000047",320,40,0.0,0.0,0.0,0,1
2023,"E06000047",324,40,0.0,0.0,0.0,0,2
2024,"E06000047",324,41,0.0,0.0,0.0,0,2
2023,"E06000047",325,40,0.0,0.0,0.0,0,1
2024,"E06000047",325,41,0.0,0.0,0.0,0,1
2023,"E06000047",326,40,0.0,0.0,0.0,0,1
2023,"E06000047",327,40,0.0,0.0,0.0,0,2
2024,"E06000047",327,41,0.0,0.0,0.0,0,2
2025,"E06000047",327,42,0.0,0.0,0.0,0,2
2023,"E06000047",328,40,0.0,0.0,0.0,0,5
2024,"E06000047",328,41,0.0,0.0,0.0,0,5
2023,"E06000047",329,40,0.0,0.0,0.0,0,3
2024,"E06000047",329,41,0.0,0.0,0.0,0,3
2025,"E06000047",329,42,0.0,0.0,0.0,0,3
2023,"E06000047",331,40,0.0,0.0,0.0,0,4
2024,"E06000047",331,41,0.0,0.0,0.0,0,4
2023,"E06000047",332,40,0.0,0.0,0.0,0,4
2024,"E06000047",332,41,0.0,0.0,0.0,0,4
2023,"E06000047",333,40,0.0,0.0,0.0,0,3
2024,"E06000047",333,41,0.0,0.0,0.0,0,3
2025,"E06000047",333,42,0.0,0.0,0.0,0,3
2023,"E06000047",336,40,0.0,0.0,0.0,0,1
2023,"E06000047",340,40,0.0,0.0,0.0,0,5
2024,"E06000047",340,41,0.0,0.0,0.0,0,5
2023,"E06000047",342,40,0.0,0.0,0.0,0,2
2024,"E06000047",342,41,0.0,0.0,0.0,0,2
2025,"E06000047",342,42,0.0,0.0,0.0,0,2
2023,"E06000047",343,40,0.0,0.0,0.0,0,2
2023,"E06000047",344,40,0.0,0.0,0.0,0,5
2024,"E06000047",344,41,0.0,0.0,0.0,0,5
2023,"E06000047",345,40,0.0,0.0,0.0,0,1
2024,"E06000047",345,41,0.0,0.0,0.0,0,1
2023,"E06000047",346,40,0.0,0.0,0.0,0,2
2024,"E06000047",346,41,0.0,0.0,0.0,0,2
2023,"E06000047",347,40,0.0,0.0,0.0,0,2
2024,"E06000047",347,41,0.0,0.0,0.0,0,2
2025,"E06000047",347,42,0.0,0.0,0.0,0,2
2023,"E06000047",348,40,0.0,0.0,0.0,0,2
2023,"E06000047",349,40,0.0,0.0,0.0,0,1
2024,"E06000047",349,41,0.0,0.0,0.0,0,1
2023,"E06000047",353,40,0.0,0.0,0.0,0,2
2024,"E06000047",353,41,0.0,0.0,0.0,0,2
2023,"E06000047",354,40,0.0,0.0,0.0,0,2
2024,"E06000047",354,41,0.0,0.0,0.0,0,2
2025,"E06000047",354,42,0.0,0.0,0.0,0,2
2023,"E06000047",355,40,0.0,0.0,0.0,0,4
2024,"E06000047",355,41,0.0,0.0,0.0,0,4
2023,"E06000047",357,40,0.0,0.0,0.0,0,2
2024,"E06000047",357,41,0.0,0.0,0.0,0,2
2025,"E06000047",357,42,0.0,0.0,0.0,0,2
2024,"E06000047",359,40,0.0,0.0,0.0,0,5
2025,"E06000047",359,41,0.0,0.0,0.0,0,5
2024,"E06000047",360,40,0.0,0.0,0.0,0,4
2025,"E06000047",360,41,0.0,0.0,0.0,0,4
2024,"E06000047",361,40,0.0,0.0,0.0,0,2
2025,"E06000047",361,41,0.0,0.0,0.0,0,2
2024,"E06000047",362,40,0.0,0.0,0.0,0,2
2024,"E06000047",363,40,0.0,0.0,0.0,0,2
2025,"E06000047",363,41,0.0,0.0,0.0,0,2
2024,"E06000047",364,40,0.0,0.0,0.0,0,2
2025,"E06000047",364,41,0.0,0.0,0.0,0,2
2024,"E06000047",366,40,0.0,0.0,0.0,0,3
2024,"E06000047",367,40,0.0,0.0,0.0,0,2
2024,"E06000047",369,40,0.0,0.0,0.0,0,3
2024,"E06000047",371,40,0.0,0.0,0.0,0,2
2025,"E06000047",371,41,0.0,0.0,0.0,0,2
2024,"E06000047",376,40,0.0,0.0,0.0,0,3
2025,"E06000047",376,41,0.0,0.0,0.0,0,3
2024,"E06000047",378,40,0.0,0.0,0.0,0,2
2025,"E06000047",378,41,0.0,0.0,0.0,0,2
2024,"E06000047",382,40,0.0,0.0,0.0,0,2
2025,"E06000047",382,41,0.0,0.0,0.0,0,2
2024,"E06000047",383,40,0.0,0.0,0.0,0,4
2024,"E06000047",385,40,0.0,0.0,0.0,0,5
2024,"E06000047",387,40,0.0,0.0,0.0,0,2
2025,"E06000047",387,41,0.0,0.0,0.0,0,2
2024,"E06000047",388,40,0.0,0.0,0.0,0,1
2025,"E06000047",388,41,0.0,0.0,0.0,0,1
2024,"E06000047",389,40,0.0,0.0,0.0,0,4
2024,"E06000047",390,40,0.0,0.0,0.0,0,5
2025,"E06000047",390,41,0.0,0.0,0.0,0,5
2024,"E06000047",391,40,0.0,0.0,0.0,0,3
2025,"E06000047",391,41,0.0,0.0,0.0,0,3
2024,"E06000047",392,40,0.0,0.0,0.0,0,2
2025,"E06000047",392,41,0.0,0.0,0.0,0,2
2024,"E06000047",393,40,0.0,0.0,0.0,0,4
2025,"E06000047",395,40,0.0,0.0,0.0,0,3
2025,"E06000047",396,40,0.0,0.0,0.0,0,2
2026,"E06000047",396,41,0.0,0.0,0.0,0,2
2025,"E06000047",398,40,0.0,0.0,0.0,0,3
2026,"E06000047",398,41,0.0,0.0,0.0,0,3
2025,"E06000047",400,40,0.0,0.0,0.0,0,5
2025,"E06000047",404,40,0.0,0.0,0.0,0,2
2026,"E06000047",404,41,0.0,0.0,0.0,0,2
2025,"E06000047",406,40,0.0,0.0,0.0,0,2
2026,"E06000047",406,41,0.0,0.0,0.0,0,2
2027,"E06000047",406,42,0.0,0.0,0.0,0,2
2025,"E06000047",408,40,0.0,0.0,0.0,0,4
2026,"E06000047",408,41,0.0,0.0,0.0,0,4
2025,"E06000047",409,40,0.0,0.0,0.0,0,2
2025,"E06000047",411,40,0.0,0.0,0.0,0,2
2026,"E06000047",411,41,0.0,0.0,0.0,0,2
2025,"E06000047",413,40,0.0,0.0,0.0,0,5
2026,"E06000047",413,41,0.0,0.0,0.0,0,5
2025,"E06000047",417,40,0.0,0.0,0.0,0,2
2026,"E06000047",417,41,0.0,0.0,0.0,0,2
2027,"E06000047",417,42,0.0,0.0,0.0,0,2
2025,"E06000047",420,40,0.0,0.0,0.0,0,2
2025,"E06000047",421,40,0.0,0.0,0.0,0,5
2026,"E06000047",421,41,0.0,0.0,0.0,0,5
2027,"E06000047",421,42,0.0,0.0,0.0,0,5
2025,"E06000047",422,40,0.0,0.0,0.0,0,4
2026,"E06000047",422,41,0.0,0.0,0.0,0,4
2025,"E06000047",424,40,0.0,0.0,0.0,0,3
2026,"E06000047",424,41,0.0,0.0,0.0,0,3
2027,"E06000047",424,42,0.0,0.0,0.0,0,3
2025,"E06000047",426,40,0.0,0.0,0.0,0,3
2015,"E08000037",429,40,0.0,0.0,0.0,0,2
2015,"E08000037",431,40,0.0,0.0,0.0,0,1
2015,"E08000037",435,40,0.0,0.0,0.0,0,3
2016,"E08000037",435,41,0.0,0.0,0.0,0,3
2015,"E08000037",437,40,0.0,0.0,0.0,0,3
2015,"E08000037",438,40,0.0,0.0,0.0,0,3
2016,"E08000037",438,41,0.0,0.0,0.0,0,3
2017,"E08000037",438,42,0.0,0.0,0.0,0,3
2015,"E08000037",440,40,0.0,0.0,0.0,0,5
2015,"E08000037",441,40,0.0,0.0,0.0,0,2
2015,"E08000037",442,40,0.0,0.0,0.0,0,2
2015,"E08000037",443,40,0.0,0.0,0.0,0,1
2015,"E08000037",447,40,0.0,0.0,0.0,0,2
2015,"E08000037",448,40,0.0,0.0,0.0,0,3
2016,"E08000037",449,40,0.0,0.0,0.0,0,3
2016,"E08000037",451,40,0.0,0.0,0.0,0,2
2017,"E08000037",451,41,0.0,0.0,0.0,0,2
2018,"E08000037",451,42,0.0,0.0,0.0,0,2
2016,"E08000037",452,40,0.0,0.0,0.0,0,4
2017,"E08000037",452,41,0.0,0.0,0.0,0,4
2016,"E08000037",453,40,0.0,0.0,0.0,0,3
2016,"E08000037",458,40,0.0,0.0,0.0,0,3
2017,"E08000037",458,41,0.0,0.0,0.0,0,3
2018,"E08000037",458,42,0.0,0.0,0.0,0,3
2016,"E08000037",459,40,0.0,0.0,0.0,0,4
2017,"E08000037",459,41,0.0,0.0,0.0,0,4
2018,"E08000037",459,42,0.0,0.0,0.0,0,4
2016,"E08000037",460,40,0.0,0.0,0.0,0,1
2016,"E08000037",462,40,0.0,0.0,0.0,0,2
2016,"E08000037",463,40,0.0,0.0,0.0,0,3
2017,"E08000037",463,41,0.0,0.0,0.0,0,3
2016,"E08000037",464,40,0.0,0.0,0.0,0,4
2017,"E08000037",464,41,0.0,0.0,0.0,0,4
2016,"E08000037",465,40,0.0,0.0,0.0,0,1
2016,"E08000037",468,40,0.0,0.0,0.0,0,2
2017,"E08000037",469,40,0.0,0.0,0.0,0,3
2017,"E08000037",471,40,0.0,0.0,0.0,0,4
2017,"E08000037",472,40,0.0,0.0,0.0,0,4
2018,"E08000037",472,41,0.0,0.0,0.0,0,4
2019,"E08000037",472,42,0.0,0.0,0.0,0,4
