"year","ccode","carer","age","housing_costs","earnings","benefits","employment_status"
2026,"E06000005",50,20,79.69938537593121,0.0,66.72442362189184,NEET
2025,"E06000005",51,18,78.10980460798689,0.0,65.3936246446947,NEET
2025,"E06000005",52,18,78.10980460798689,0.0,65.3936246446947,NEET
2026,"E06000005",52,19,79.69938537598428,0.0,66.72442362193625,NEET
2027,"E06000005",52,20,81.32131505368467,0.0,68.08230514623321,NEET
2025,"E06000005",53,18,78.10980460798689,0.0,0.0,OtherEd
2025,"E06000005",54,18,78.10980460798689,0.0,65.3936246446947,NEET
2015,"E06000047",56,18,65.20090241267978,0.0,0.0,OtherEd
2016,"E06000047",56,19,66.15350807578886,0.0,0.0,OtherEd
2015,"E06000047",57,18,65.20090241267978,0.0,54.5862758237418,NEET
2016,"E06000047",57,19,66.15350807578886,0.0,55.38379845845334,NEET
2015,"E06000047",59,18,65.20090241267978,231.920964639732,0.0,TrainingOrEmployment
2016,"E06000047",59,19,66.15350807578886,235.3094027768484,0.0,TrainingOrEmployment
2015,"E06000047",60,18,65.20090241267978,0.0,0.0,OtherEd
2016,"E06000047",60,19,66.15350807578886,0.0,0.0,OtherEd
2017,"E06000047",60,20,66.18003521777497,0.0,0.0,OtherEd
2015,"E06000047",61,18,65.20090241267978,0.0,54.5862758237418,NEET
2016,"E06000047",61,19,66.15350807578886,0.0,55.38379845845334,NEET
2017,"E06000047",61,20,66.18003521777497,0.0,55.40600701440406,NEET
2015,"E06000047",65,18,65.20090241267978,0.0,0.0,HigherEd
2015,"E06000047",67,18,65.20090241267978,0.0,0.0,OtherEd
2016,"E06000047",67,19,66.15350807578886,0.0,0.0,OtherEd
2017,"E06000047",67,20,66.18003521777497,0.0,0.0,OtherEd
2015,"E06000047",68,18,65.20090241267978,0.0,0.0,OtherEd
2016,"E06000047",68,19,66.15350807578886,0.0,0.0,OtherEd
2015,"E06000047",69,18,65.20090241267978,0.0,54.5862758237418,NEET
2015,"E06000047",70,18,65.20090241267978,0.0,0.0,OtherEd
2015,"E06000047",71,18,65.20090241267978,0.0,54.5862758237418,NEET
2015,"E06000047",72,18,65.20090241267978,231.920964639732,0.0,TrainingOrEmployment
2015,"E06000047",74,18,65.20090241267978,0.0,54.5862758237418,NEET
2016,"E06000047",74,19,66.15350807578886,0.0,55.38379845845334,NEET
2015,"E06000047",75,18,65.20090241267978,0.0,0.0,OtherEd
2015,"E06000047",78,18,65.20090241267978,0.0,0.0,OtherEd
2016,"E06000047",78,19,66.15350807578886,0.0,0.0,OtherEd
2015,"E06000047",79,18,65.20090241267978,0.0,0.0,OtherEd
2016,"E06000047",79,19,66.15350807578886,0.0,0.0,OtherEd
2017,"E06000047",79,20,66.18003521777497,0.0,0.0,OtherEd
2015,"E06000047",83,18,65.20090241267978,0.0,54.5862758237418,NEET
2016,"E06000047",83,19,66.15350807578886,0.0,55.38379845845334,NEET
2017,"E06000047",83,20,66.18003521777497,0.0,55.40600701440406,NEET
2015,"E06000047",84,18,65.20090241267978,231.920964639732,0.0,TrainingOrEmployment
2016,"E06000047",84,19,66.15350807578886,235.3094027768484,0.0,TrainingOrEmployment
2015,"E06000047",87,18,65.20090241267978,231.920964639732,0.0,TrainingOrEmployment
2016,"E06000047",87,19,66.15350807578886,235.3094027768484,0.0,TrainingOrEmployment
2017,"E06000047",87,20,66.18003521777497,235.40376037207943,0.0,TrainingOrEmployment
2016,"E06000047",90,18,65.22704756576739,0.0,54.6081645781161,NEET
2017,"E06000047",90,19,65.25320320289747,0.0,54.630062109743676,NEET
2016,"E06000047",93,18,65.22704756576739,0.0,0.0,OtherEd
2017,"E06000047",93,19,65.25320320289747,0.0,0.0,OtherEd
2016,"E06000047",95,18,65.22704756576739,0.0,54.6081645781161,NEET
2017,"E06000047",95,19,65.25320320289747,0.0,54.630062109743676,NEET
2016,"E06000047",96,18,65.22704756576739,0.0,0.0,OtherEd
2017,"E06000047",96,19,65.25320320289747,0.0,0.0,OtherEd
2016,"E06000047",98,18,65.22704756576739,0.0,54.6081645781161,NEET
2016,"E06000047",101,18,65.22704756576739,0.0,0.0,HigherEd
2017,"E06000047",101,19,65.25320320289747,0.0,0.0,HigherEd
2016,"E06000047",105,18,65.22704756576739,0.0,54.6081645781161,NEET
2017,"E06000047",105,19,65.25320320289747,0.0,54.630062109743676,NEET
2016,"E06000047",106,18,65.22704756576739,232.01396349251402,0.0,TrainingOrEmployment
2016,"E06000047",107,18,65.22704756576739,0.0,0.0,OtherEd
2017,"E06000047",107,19,65.25320320289747,0.0,0.0,OtherEd
2016,"E06000047",108,18,65.22704756576739,232.01396349251402,0.0,TrainingOrEmployment
2017,"E06000047",108,19,65.25320320289747,232.10699963725295,0.0,TrainingOrEmployment
2016,"E06000047",110,18,65.22704756576739,0.0,54.6081645781161,NEET
2017,"E06000047",110,19,65.25320320289747,0.0,54.630062109743676,NEET
2018,"E06000047",110,20,65.68365647465745,0.0,54.99043811915537,NEET
2016,"E06000047",111,18,65.22704756576739,232.01396349251402,0.0,TrainingOrEmployment
2016,"E06000047",114,18,65.22704756576739,232.01396349251402,0.0,TrainingOrEmployment
2016,"E06000047",118,18,65.22704756576739,0.0,54.6081645781161,NEET
2017,"E06000047",118,19,65.25320320289747,0.0,54.630062109743676,NEET
2016,"E06000047",120,18,65.22704756576739,232.01396349251402,0.0,TrainingOrEmployment
2017,"E06000047",122,18,65.65732829765156,0.0,0.0,OtherEd
2018,"E06000047",122,19,66.09044744573177,0.0,0.0,OtherEd
2017,"E06000047",123,18,65.65732829765156,0.0,0.0,OtherEd
2018,"E06000047",123,19,66.09044744573177,0.0,0.0,OtherEd
2019,"E06000047",123,20,67.86374097643456,0.0,0.0,OtherEd
2017,"E06000047",124,18,65.65732829765156,0.0,0.0,OtherEd
2018,"E06000047",124,19,66.09044744573177,0.0,0.0,OtherEd
2017,"E06000047",126,18,65.65732829765156,0.0,0.0,OtherEd
2018,"E06000047",126,19,66.09044744573177,0.0,0.0,OtherEd
2017,"E06000047",127,18,65.65732829765156,233.544480996288,0.0,TrainingOrEmployment
2018,"E06000047",127,19,66.09044744573177,235.08509480544853,0.0,TrainingOrEmployment
2019,"E06000047",127,20,67.86374097643456,241.3927367400179,0.0,TrainingOrEmployment
2017,"E06000047",128,18,65.65732829765156,0.0,54.9683961369312,NEET
2018,"E06000047",128,19,66.09044744573177,0.0,55.331004021282396,NEET
2017,"E06000047",130,18,65.65732829765156,0.0,54.9683961369312,NEET
2017,"E06000047",134,18,65.65732829765156,233.544480996288,0.0,TrainingOrEmployment
2017,"E06000047",135,18,65.65732829765156,233.544480996288,0.0,TrainingOrEmployment
2017,"E06000047",137,18,65.65732829765156,233.544480996288,0.0,TrainingOrEmployment
2017,"E06000047",138,18,65.65732829765156,0.0,0.0,OtherEd
2017,"E06000047",144,18,65.65732829765156,233.544480996288,0.0,TrainingOrEmployment
2018,"E06000047",144,19,66.09044744573177,235.08509480544853,0.0,TrainingOrEmployment
2019,"E06000047",144,20,67.86374097643456,241.3927367400179,0.0,TrainingOrEmployment
2017,"E06000047",145,18,65.65732829765156,0.0,54.9683961369312,NEET
2018,"E06000047",145,19,66.09044744573177,0.0,55.331004021282396,NEET
2017,"E06000047",146,18,65.65732829765156,233.544480996288,0.0,TrainingOrEmployment
2017,"E06000047",147,18,65.65732829765156,0.0,54.9683961369312,NEET
2017,"E06000047",150,18,65.65732829765156,0.0,54.9683961369312,NEET
2018,"E06000047",150,19,66.09044744573177,0.0,55.331004021282396,NEET
2017,"E06000047",152,18,65.65732829765156,0.0,54.9683961369312,NEET
2018,"E06000047",152,19,66.09044744573177,0.0,55.331004021282396,NEET
2017,"E06000047",153,18,65.65732829765156,233.544480996288,0.0,TrainingOrEmployment
2018,"E06000047",153,19,66.09044744573177,235.08509480544853,0.0,TrainingOrEmployment
2019,"E06000047",153,20,67.86374097643456,241.3927367400179,0.0,TrainingOrEmployment
2018,"E06000047",157,18,67.41900067260494,239.81078623839002,0.0,TrainingOrEmployment
2018,"E06000047",162,18,67.41900067260494,0.0,56.4432704195235,NEET
2018,"E06000047",163,18,67.41900067260494,0.0,0.0,OtherEd
2018,"E06000047",164,18,67.41900067260494,0.0,0.0,OtherEd
2018,"E06000047",165,18,67.41900067260494,0.0,0.0,OtherEd
2018,"E06000047",167,18,67.41900067260494,0.0,56.4432704195235,NEET
2019,"E06000047",167,19,69.22794103175964,0.0,57.95771751672064,NEET
2020,"E06000047",167,20,71.01462682701725,0.0,59.45353306560677,NEET
2018,"E06000047",170,18,67.41900067260494,0.0,56.4432704195235,NEET
2019,"E06000047",170,19,69.22794103175964,0.0,57.95771751672064,NEET
2018,"E06000047",171,18,67.41900067260494,0.0,56.4432704195235,NEET
2018,"E06000047",174,18,67.41900067260494,239.81078623839002,0.0,TrainingOrEmployment
2019,"E06000047",174,19,69.22794103175964,246.24522468244007,0.0,TrainingOrEmployment
2020,"E06000047",174,20,71.01462682701725,252.60050318029823,0.0,TrainingOrEmployment
2018,"E06000047",177,18,67.41900067260494,239.81078623839002,0.0,TrainingOrEmployment
2019,"E06000047",177,19,69.22794103175964,246.24522468244007,0.0,TrainingOrEmployment
2020,"E06000047",177,20,71.01462682701725,252.60050318029823,0.0,TrainingOrEmployment
2018,"E06000047",178,18,67.41900067260494,0.0,56.4432704195235,NEET
2019,"E06000047",178,19,69.22794103175964,0.0,57.95771751672064,NEET
2018,"E06000047",179,18,67.41900067260494,239.81078623839002,0.0,TrainingOrEmployment
2019,"E06000047",179,19,69.22794103175964,246.24522468244007,0.0,TrainingOrEmployment
2020,"E06000047",179,20,71.01462682701725,252.60050318029823,0.0,TrainingOrEmployment
2018,"E06000047",180,18,67.41900067260494,239.81078623839002,0.0,TrainingOrEmployment
2018,"E06000047",182,18,67.41900067260494,0.0,56.4432704195235,NEET
2019,"E06000047",182,19,69.22794103175964,0.0,57.95771751672064,NEET
2020,"E06000047",182,20,71.01462682701725,0.0,59.45353306560677,NEET
2018,"E06000047",183,18,67.41900067260494,0.0,56.4432704195235,NEET
2018,"E06000047",184,18,67.41900067260494,0.0,0.0,OtherEd
2018,"E06000047",185,18,67.41900067260494,239.81078623839002,0.0,TrainingOrEmployment
2019,"E06000047",185,19,69.22794103175964,246.24522468244007,0.0,TrainingOrEmployment
2018,"E06000047",187,18,67.41900067260494,239.81078623839002,0.0,TrainingOrEmployment
2019,"E06000047",187,19,69.22794103175964,246.24522468244007,0.0,TrainingOrEmployment
2020,"E06000047",187,20,71.01462682701725,252.60050318029823,0.0,TrainingOrEmployment
2019,"E06000047",189,18,69.159,0.0,0.0,OtherEd
2020,"E06000047",189,19,70.94390651422862,0.0,0.0,OtherEd
2021,"E06000047",189,20,72.39793500223146,0.0,0.0,OtherEd
2019,"E06000047",191,18,69.159,246.0,0.0,TrainingOrEmployment
2020,"E06000047",191,19,70.94390651422862,252.34894955826772,0.0,TrainingOrEmployment
2019,"E06000047",192,18,69.159,246.0,0.0,TrainingOrEmployment
2019,"E06000047",194,18,69.159,246.0,0.0,TrainingOrEmployment
2020,"E06000047",194,19,70.94390651422862,252.34894955826772,0.0,TrainingOrEmployment
2019,"E06000047",195,18,69.159,246.0,0.0,TrainingOrEmployment
2020,"E06000047",195,19,70.94390651422862,252.34894955826772,0.0,TrainingOrEmployment
2021,"E06000047",195,20,72.39793500223146,257.5209591021984,0.0,TrainingOrEmployment
2019,"E06000047",197,18,69.159,0.0,0.0,OtherEd
2020,"E06000047",197,19,70.94390651422862,0.0,0.0,OtherEd
2019,"E06000047",202,18,69.159,0.0,0.0,HigherEd
2020,"E06000047",202,19,70.94390651422862,0.0,0.0,HigherEd
2021,"E06000047",202,20,72.39793500223146,0.0,0.0,HigherEd
2019,"E06000047",204,18,69.159,0.0,57.9,NEET
2020,"E06000047",204,19,70.94390651422862,0.0,59.39432593261667,NEET
2019,"E06000047",208,18,69.159,0.0,57.9,NEET
2020,"E06000047",208,19,70.94390651422862,0.0,59.39432593261667,NEET
2021,"E06000047",208,20,72.39793500223146,0.0,60.611640374054005,NEET
2019,"E06000047",209,18,69.159,0.0,57.9,NEET
2020,"E06000047",209,19,70.94390651422862,0.0,59.39432593261667,NEET
2019,"E06000047",211,18,69.159,246.0,0.0,TrainingOrEmployment
2019,"E06000047",212,18,69.159,246.0,0.0,TrainingOrEmployment
2020,"E06000047",212,19,70.94390651422862,252.34894955826772,0.0,TrainingOrEmployment
2019,"E06000047",213,18,69.159,0.0,0.0,OtherEd
2019,"E06000047",216,18,69.159,0.0,57.9,NEET
2019,"E06000047",218,18,69.159,0.0,57.9,NEET
2020,"E06000047",218,19,70.94390651422862,0.0,59.39432593261667,NEET
2020,"E06000047",222,18,70.57644599561375,0.0,59.0866875337416,NEET
2021,"E06000047",222,19,72.0229432087188,0.0,60.2976967825564,NEET
2022,"E06000047",222,20,73.4427137033458,0.0,61.48633038973556,NEET
2020,"E06000047",223,18,70.57644599561375,0.0,59.0866875337416,NEET
2021,"E06000047",223,19,72.0229432087188,0.0,60.2976967825564,NEET
2022,"E06000047",223,20,73.4427137033458,0.0,61.48633038973556,NEET
2020,"E06000047",224,18,70.57644599561375,251.041884858384,0.0,TrainingOrEmployment
2021,"E06000047",224,19,72.0229432087188,256.1871055010168,0.0,TrainingOrEmployment
2022,"E06000047",224,20,73.4427137033458,261.2372586506899,0.0,TrainingOrEmployment
2020,"E06000047",225,18,70.57644599561375,0.0,59.0866875337416,NEET
2021,"E06000047",225,19,72.0229432087188,0.0,60.2976967825564,NEET
2020,"E06000047",227,18,70.57644599561375,251.041884858384,0.0,TrainingOrEmployment
2021,"E06000047",227,19,72.0229432087188,256.1871055010168,0.0,TrainingOrEmployment
2020,"E06000047",228,18,70.57644599561375,251.041884858384,0.0,TrainingOrEmployment
2021,"E06000047",228,19,72.0229432087188,256.1871055010168,0.0,TrainingOrEmployment
2020,"E06000047",230,18,70.57644599561375,0.0,59.0866875337416,NEET
2020,"E06000047",231,18,70.57644599561375,251.041884858384,0.0,TrainingOrEmployment
2021,"E06000047",231,19,72.0229432087188,256.1871055010168,0.0,TrainingOrEmployment
2020,"E06000047",233,18,70.57644599561375,251.041884858384,0.0,TrainingOrEmployment
2021,"E06000047",233,19,72.0229432087188,256.1871055010168,0.0,TrainingOrEmployment
2022,"E06000047",233,20,73.4427137033458,261.2372586506899,0.0,TrainingOrEmployment
2020,"E06000047",234,18,70.57644599561375,0.0,0.0,OtherEd
2021,"E06000047",234,19,72.0229432087188,0.0,0.0,OtherEd
2020,"E06000047",235,18,70.57644599561375,0.0,0.0,OtherEd
2021,"E06000047",235,19,72.0229432087188,0.0,0.0,OtherEd
2022,"E06000047",235,20,73.4427137033458,0.0,0.0,OtherEd
2020,"E06000047",240,18,70.57644599561375,251.041884858384,0.0,TrainingOrEmployment
2020,"E06000047",245,18,70.57644599561375,0.0,59.0866875337416,NEET
2021,"E06000047",245,19,72.0229432087188,0.0,60.2976967825564,NEET
2020,"E06000047",246,18,70.57644599561375,251.041884858384,0.0,TrainingOrEmployment
2021,"E06000047",246,19,72.0229432087188,256.1871055010168,0.0,TrainingOrEmployment
2022,"E06000047",246,20,73.4427137033458,261.2372586506899,0.0,TrainingOrEmployment
2020,"E06000047",247,18,70.57644599561375,0.0,59.0866875337416,NEET
2021,"E06000047",247,19,72.0229432087188,0.0,60.2976967825564,NEET
2020,"E06000047",248,18,70.57644599561375,0.0,0.0,HigherEd
2020,"E06000047",249,18,70.57644599561375,0.0,59.0866875337416,NEET
2020,"E06000047",250,18,70.57644599561375,251.041884858384,0.0,TrainingOrEmployment
2020,"E06000047",251,18,70.57644599561375,251.041884858384,0.0,TrainingOrEmployment
2021,"E06000047",259,18,71.9677020478668,255.99061154405402,0.0,TrainingOrEmployment
2022,"E06000047",259,19,73.3863835871308,261.03689125687436,0.0,TrainingOrEmployment
2021,"E06000047",262,18,71.9677020478668,255.99061154405402,0.0,TrainingOrEmployment
2021,"E06000047",266,18,71.9677020478668,0.0,0.0,OtherEd
2022,"E06000047",266,19,73.3863835871308,0.0,0.0,OtherEd
2021,"E06000047",268,18,71.9677020478668,0.0,60.2514488146371,NEET
2021,"E06000047",269,18,71.9677020478668,0.0,60.2514488146371,NEET
2022,"E06000047",269,19,73.3863835871308,0.0,61.43917074704482,NEET
2021,"E06000047",274,18,71.9677020478668,0.0,60.2514488146371,NEET
2022,"E06000047",274,19,73.3863835871308,0.0,61.43917074704482,NEET
2021,"E06000047",275,18,71.9677020478668,255.99061154405402,0.0,TrainingOrEmployment
2022,"E06000047",275,19,73.3863835871308,261.03689125687436,0.0,TrainingOrEmployment
2023,"E06000047",275,20,74.94396847310966,266.577253060122,0.0,TrainingOrEmployment
2021,"E06000047",277,18,71.9677020478668,0.0,0.0,OtherEd
2022,"E06000047",277,19,73.3863835871308,0.0,0.0,OtherEd
2023,"E06000047",277,20,74.94396847310966,0.0,0.0,OtherEd
2021,"E06000047",278,18,71.9677020478668,255.99061154405402,0.0,TrainingOrEmployment
2022,"E06000047",278,19,73.3863835871308,261.03689125687436,0.0,TrainingOrEmployment
2023,"E06000047",278,20,74.94396847310966,266.577253060122,0.0,TrainingOrEmployment
2021,"E06000047",281,18,71.9677020478668,0.0,60.2514488146371,NEET
2022,"E06000047",281,19,73.3863835871308,0.0,61.43917074704482,NEET
2023,"E06000047",281,20,74.94396847310966,0.0,62.74318273244335,NEET
2021,"E06000047",283,18,71.9677020478668,255.99061154405402,0.0,TrainingOrEmployment
2022,"E06000047",283,19,73.3863835871308,261.03689125687436,0.0,TrainingOrEmployment
2023,"E06000047",283,20,74.94396847310966,266.577253060122,0.0,TrainingOrEmployment
2021,"E06000047",285,18,71.9677020478668,0.0,0.0,HigherEd
2022,"E06000047",285,19,73.3863835871308,0.0,0.0,HigherEd
2023,"E06000047",285,20,74.94396847310966,0.0,0.0,HigherEd
2021,"E06000047",288,18,71.9677020478668,0.0,60.2514488146371,NEET
2022,"E06000047",288,19,73.3863835871308,0.0,61.43917074704482,NEET
2021,"E06000047",289,18,71.9677020478668,255.99061154405402,0.0,TrainingOrEmployment
2022,"E06000047",289,19,73.3863835871308,261.03689125687436,0.0,TrainingOrEmployment
2022,"E06000047",290,18,73.49517621281592,0.0,61.5302520672948,NEET
2023,"E06000047",290,19,75.05507016133733,0.0,62.83619720269858,NEET
2022,"E06000047",291,18,73.49517621281592,0.0,0.0,HigherEd
2023,"E06000047",291,19,75.05507016133733,0.0,0.0,HigherEd
2024,"E06000047",291,20,76.61748810043784,0.0,0.0,HigherEd
2022,"E06000047",295,18,73.49517621281592,0.0,61.5302520672948,NEET
2023,"E06000047",295,19,75.05507016133733,0.0,62.83619720269858,NEET
2022,"E06000047",297,18,73.49517621281592,0.0,0.0,HigherEd
2023,"E06000047",297,19,75.05507016133733,0.0,0.0,HigherEd
2024,"E06000047",297,20,76.61748810043784,0.0,0.0,HigherEd
2022,"E06000047",298,18,73.49517621281592,0.0,61.5302520672948,NEET
2023,"E06000047",298,19,75.05507016133733,0.0,62.83619720269858,NEET
2024,"E06000047",298,20,76.61748810043784,0.0,64.14425542612459,NEET
2022,"E06000047",299,18,73.49517621281592,0.0,61.5302520672948,NEET
2023,"E06000047",299,19,75.05507016133733,0.0,62.83619720269858,NEET
2022,"E06000047",301,18,73.49517621281592,261.423868886952,0.0,TrainingOrEmployment
2023,"E06000047",301,19,75.05507016133733,266.9724440736416,0.0,TrainingOrEmployment
2024,"E06000047",301,20,76.61748810043784,272.5299971472651,0.0,TrainingOrEmployment
2022,"E06000047",304,18,73.49517621281592,0.0,61.5302520672948,NEET
2023,"E06000047",304,19,75.05507016133733,0.0,62.83619720269858,NEET
2022,"E06000047",305,18,73.49517621281592,0.0,61.5302520672948,NEET
2023,"E06000047",305,19,75.05507016133733,0.0,62.83619720269858,NEET
2024,"E06000047",305,20,76.61748810043784,0.0,64.14425542612459,NEET
2022,"E06000047",307,18,73.49517621281592,0.0,61.5302520672948,NEET
2023,"E06000047",307,19,75.05507016133733,0.0,62.83619720269858,NEET
2022,"E06000047",311,18,73.49517621281592,0.0,0.0,OtherEd
2023,"E06000047",311,19,75.05507016133733,0.0,0.0,OtherEd
2022,"E06000047",312,18,73.49517621281592,0.0,0.0,OtherEd
2023,"E06000047",312,19,75.05507016133733,0.0,0.0,OtherEd
2024,"E06000047",312,20,76.61748810043784,0.0,0.0,OtherEd
2022,"E06000047",313,18,73.49517621281592,0.0,61.5302520672948,NEET
2022,"E06000047",320,18,73.49517621281592,261.423868886952,0.0,TrainingOrEmployment
2023,"E06000047",324,18,75.02512191142654,0.0,62.8111244909787,NEET
2024,"E06000047",324,19,76.58691641918783,0.0,64.11866077691948,NEET
2023,"E06000047",325,18,75.02512191142654,266.865917526438,0.0,TrainingOrEmployment
2024,"E06000047",325,19,76.58691641918783,272.4212530418341,0.0,TrainingOrEmployment
2023,"E06000047",326,18,75.02512191142654,266.865917526438,0.0,TrainingOrEmployment
2023,"E06000047",327,18,75.02512191142654,266.865917526438,0.0,TrainingOrEmployment
2024,"E06000047",327,19,76.58691641918783,272.4212530418341,0.0,TrainingOrEmployment
2025,"E06000047",327,20,78.14550551087854,277.9651868256644,0.0,TrainingOrEmployment
2023,"E06000047",328,18,75.02512191142654,0.0,62.8111244909787,NEET
2024,"E06000047",328,19,76.58691641918783,0.0,64.11866077691948,NEET
2023,"E06000047",329,18,75.02512191142654,0.0,62.8111244909787,NEET
2024,"E06000047",329,19,76.58691641918783,0.0,64.11866077691948,NEET
2025,"E06000047",329,20,78.14550551087854,0.0,65.42351348457709,NEET
2023,"E06000047",331,18,75.02512191142654,266.865917526438,0.0,TrainingOrEmployment
2024,"E06000047",331,19,76.58691641918783,272.4212530418341,0.0,TrainingOrEmployment
2023,"E06000047",332,18,75.02512191142654,0.0,62.8111244909787,NEET
2024,"E06000047",332,19,76.58691641918783,0.0,64.11866077691948,NEET
2023,"E06000047",333,18,75.02512191142654,0.0,62.8111244909787,NEET
2024,"E06000047",333,19,76.58691641918783,0.0,64.11866077691948,NEET
2025,"E06000047",333,20,78.14550551087854,0.0,65.42351348457709,NEET
2023,"E06000047",336,18,75.02512191142654,0.0,0.0,OtherEd
2023,"E06000047",340,18,75.02512191142654,266.865917526438,0.0,TrainingOrEmployment
2024,"E06000047",340,19,76.58691641918783,272.4212530418341,0.0,TrainingOrEmployment
2023,"E06000047",342,18,75.02512191142654,266.865917526438,0.0,TrainingOrEmployment
2024,"E06000047",342,19,76.58691641918783,272.4212530418341,0.0,TrainingOrEmployment
2025,"E06000047",342,20,78.14550551087854,277.9651868256644,0.0,TrainingOrEmployment
2023,"E06000047",343,18,75.02512191142654,266.865917526438,0.0,TrainingOrEmployment
2023,"E06000047",344,18,75.02512191142654,0.0,0.0,OtherEd
2024,"E06000047",344,19,76.58691641918783,0.0,0.0,OtherEd
2023,"E06000047",345,18,75.02512191142654,0.0,0.0,OtherEd
2024,"E06000047",345,19,76.58691641918783,0.0,0.0,OtherEd
2023,"E06000047",346,18,75.02512191142654,266.865917526438,0.0,TrainingOrEmployment
2024,"E06000047",346,19,76.58691641918783,272.4212530418341,0.0,TrainingOrEmployment
2023,"E06000047",347,18,75.02512191142654,266.865917526438,0.0,TrainingOrEmployment
2024,"E06000047",347,19,76.58691641918783,272.4212530418341,0.0,TrainingOrEmployment
2025,"E06000047",347,20,78.14550551087854,277.9651868256644,0.0,TrainingOrEmployment
2023,"E06000047",348,18,75.02512191142654,0.0,62.8111244909787,NEET
2023,"E06000047",349,18,75.02512191142654,0.0,62.8111244909787,NEET
2024,"E06000047",349,19,76.58691641918783,0.0,64.11866077691948,NEET
2023,"E06000047",353,18,75.02512191142654,0.0,0.0,OtherEd
