brma,cat_a,cat_b,cat_c,cat_d,cat_e
south_west_herts,83.29,165.5,208.96,262.26,358.8
southampton,67.5,120.03,161.07,190.02,242.4
southend,68.78,123.62,160.73,192.06,247.2
southern_greater_manchester,63.21,105.32,132.04,156.33,206.09
southport,69.33,91.43,120.82,139.84,172.6
st_helens,59.84,80.55,97.81,113.92,157.61
staffordshire_north,55.19,80.55,90.9,109.32,144.04
stevenage_and_north_herts,72.04,133.7,164.83,203.74,260.94
sunderland,49.17,88,97.81,109.32,138.08
sussex_east,69.77,94.81,123.9,164.75,201.49
swindon,65.61,113.03,135.28,167.16,210.17
tameside_and_glossop,56.58,86.3,103.56,126.58,156.38
taunton_and_west_somerset,66.06,92.05,120.82,145.67,184.11
teesside,57.34,83.78,97.81,114,149.59
thanet,65.17,85.64,123.62,144.36,183.11
tyneside,61.8,90.9,103.56,115.07,149.59
wakefield,55,86.3,103.56,113.92,149.59
walton,90.01,183.97,228.37,276.67,382.64
warwickshire_south,76.24,126.34,159.52,187.25,246.5
west_cheshire,64.48,99.06,120.82,138.08,186.47
west_cumbria,67.1,79.24,92.05,104.89,134.02
west_pennine,62.4,78,85,99.04,137.31
west_wiltshire,69.39,100.05,129.72,160.68,210.5
weston_s_mare,66.85,97.81,126.03,154.5,184.11
wigan,57.57,80.55,96.23,109.32,149.59
winchester,79.77,152.75,182.45,211.87,322.15
wirral,55.02,86.3,102.73,126.58,140.62
wolds_and_coast,64.67,75,93.23,110.72,128.47
worcester_north,61.45,92.05,117.7,133.32,176.56
worcester_south,70.32,102.03,128.19,153.02,199.8
worthing,69.19,123.66,157.61,190.85,253.38
yeovil,61.45,92.05,121.97,150.04,189.96
york,67.09,98.96,123.58,141.24,200.09
