BRMA,CAT_A,CAT_B,CAT_C,CAT_D,CAT_E
South Cheshire,56.24,84.84,109.32,126.58,172.60
South Devon,63.50,96.91,128.19,153.02,192.24
South East Herts,74.79,155.50,197.81,244.31,293.79
South West Essex,67.37,136.00,171.08,199.80,266.65
South West Herts,83.29,165.50,208.96,262.26,358.80
Southampton,67.50,120.03,161.07,190.02,242.40
Southend,68.78,123.62,160.73,192.06,247.20
Southern Greater Manchester,63.21,105.32,132.04,156.33,206.09
Southport,69.33,91.43,120.82,139.84,172.60
St Helens,59.84,80.55,97.81,113.92,157.61
Staffordshire North,55.19,80.55,90.90,109.32,144.04
Stevenage & North Herts,72.04,133.70,164.83,203.74,260.94
Sunderland,49.17,88.00,97.81,109.32,138.08
Sussex East,69.77,94.81,123.90,164.75,201.49
Swindon,65.61,113.03,135.28,167.16,210.17
Tameside & Glossop,56.58,86.30,103.56,126.58,156.38
Taunton & West Somerset,66.06,92.05,120.82,145.67,184.11
Teesside,57.34,83.78,97.81,114.00,149.59
Thanet,65.17,85.64,123.62,144.36,183.11
Tyneside,61.80,90.90,103.56,115.07,149.59
Wakefield,55.00,86.30,103.56,113.92,149.59
Walton,90.01,183.97,228.37,276.67,382.64
Warwickshire South,76.24,126.34,159.52,187.25,246.50
West Cheshire,64.48,99.06,120.82,138.08,186.47
West Cumbria,67.10,79.24,92.05,104.89,134.02
West Pennine,62.40,78.00,85.00,99.04,137.31
West Wiltshire,69.39,100.05,129.72,160.68,210.50
Weston-S-Mare,66.85,97.81,126.03,154.50,184.11
Wigan,57.57,80.55,96.23,109.32,149.59
Winchester,79.77,152.75,182.45,211.87,322.15
Wirral,55.02,86.30,102.73,126.58,140.62
Wolds and Coast,64.67,75.00,93.23,110.72,128.47
Worcester North,61.45,92.05,117.70,133.32,176.56
Worcester South,70.32,102.03,128.19,153.02,199.80
Worthing,69.19,123.66,157.61,190.85,253.38
Yeovil,61.45,92.05,121.97,150.04,189.96
York,67.09,98.96,123.58,141.24,200.09
